Total Sales,Total Profit,First Purchase Date,Last Purchase Date,Purchase Frequency,Customer Longevity,Average Profit Per Purchase,CLV,CLV Segment
7755.62,2054.5885,2020-04-12,2023-11-30,18,44,114.14380555555555,90401.894,High CLV
14473.570999999998,5444.8055,2020-11-01,2023-11-07,20,36,272.240275,196012.99800000002,High CLV
6106.88,1869.9294,2020-02-27,2023-12-11,12,46,155.82745,86016.7524,High CLV
4805.344,1308.5546,2020-03-30,2023-11-12,13,44,100.65804615384614,57576.4024,High CLV
6608.448,2884.6208,2020-11-11,2023-05-12,9,30,320.51342222222223,86538.62400000001,High CLV
3831.864,974.107,2020-06-20,2023-12-09,16,42,60.8816875,40912.494,High CLV
6765.728,1015.0749999999999,2020-05-03,2023-10-05,20,41,50.75375,41618.075,High CLV
5718.521,1094.5037,2020-06-01,2023-12-04,19,42,57.605457894736844,45969.155399999996,High CLV
4411.2429999999995,1142.1225,2020-06-01,2023-11-24,10,42,114.21225,47969.145,High CLV
4204.676,1487.7739000000001,2020-08-17,2022-10-31,9,26,165.30821111111112,38682.1214,High CLV
5907.972,1538.2127,2020-09-29,2023-09-29,27,36,56.97084074074074,55375.6572,High CLV
7294.185,2199.2781,2020-08-04,2023-09-24,29,38,75.83717586206896,83572.5678,High CLV
10501.653,2616.0643999999998,2022-02-21,2023-08-21,9,18,290.6738222222222,47089.159199999995,High CLV
12129.072000000002,2177.0493,2021-08-08,2023-10-22,11,26,197.91357272727274,56603.281800000004,High CLV
10880.546,1933.7830999999999,2020-02-16,2023-12-14,28,46,69.06368214285713,88954.02259999998,High CLV
8954.019999999999,3899.8903999999998,2020-05-23,2023-11-26,10,42,389.98904,163795.3968,High CLV
6339.5576,1572.4585,2020-11-07,2023-12-29,10,38,157.24585,59753.422999999995,High CLV
5480.723999999999,1571.8318,2020-11-19,2023-09-09,14,34,112.27369999999999,53442.2812,High CLV
6528.034000000001,1641.8613,2020-03-26,2022-09-26,24,30,68.4108875,49255.839,High CLV
8350.868,2869.0759999999996,2021-07-24,2023-09-07,13,25,220.69815384615382,71726.9,High CLV
5271.628,1348.7556,2020-03-23,2023-04-01,11,36,122.61414545454545,48555.2016,High CLV
10310.880000000001,1393.5154,2020-12-27,2023-12-22,32,36,43.54735625,50166.5544,High CLV
4256.272,1073.2676,2020-09-20,2023-11-23,21,38,51.10798095238095,40784.1688,High CLV
6987.196,2050.2826,2020-03-16,2023-11-09,13,44,157.71404615384614,90212.4344,High CLV
6497.27,1448.5525,2020-04-06,2023-12-09,14,44,103.46803571428572,63736.31,High CLV
11820.119999999999,2163.4269,2020-06-03,2023-05-19,29,36,74.6009275862069,77883.36839999999,High CLV
4355.150000000001,1087.7539,2020-02-11,2023-10-13,14,44,77.69670714285714,47861.171599999994,High CLV
4877.784,956.9451,2020-03-19,2023-12-10,15,45,63.79634,43062.529500000004,High CLV
12873.297999999999,5622.4292000000005,2020-08-15,2022-05-14,11,21,511.12992727272734,118071.01320000002,High CLV
8236.7648,2437.9836,2020-10-24,2023-11-10,20,37,121.89918,90205.3932,High CLV
5248.787,1196.9504,2020-09-22,2023-09-16,14,36,85.49645714285714,43090.2144,High CLV
9300.254,2164.1611,2020-07-26,2023-12-29,20,41,108.20805499999999,88730.60509999999,High CLV
7610.8640000000005,1050.2667999999999,2020-03-03,2023-11-20,32,45,32.820837499999996,47262.005999999994,High CLV
8828.0305,1619.5199,2020-06-21,2023-10-02,17,39,95.26587647058824,63161.2761,High CLV
7754.976,1623.4019,2020-12-08,2023-09-09,20,33,81.170095,53572.2627,High CLV
8697.842999999999,1262.2926,2020-12-27,2023-12-09,22,35,57.37693636363636,44180.241,High CLV
6366.392,1415.6664,2020-11-21,2023-09-25,18,34,78.64813333333333,48132.657600000006,High CLV
4427.142,1219.983,2020-12-01,2023-12-25,13,37,93.84484615384615,45139.371,High CLV
4760.434,1172.5303,2020-03-14,2023-09-17,12,42,97.71085833333332,49246.2726,High CLV
7625.076000000001,1574.6163999999999,2021-05-24,2023-10-06,13,28,121.12433846153846,44089.2592,High CLV
7721.714,2173.7093999999997,2020-11-11,2023-10-09,14,35,155.26495714285713,76079.829,High CLV
8282.358,1107.6952000000003,2020-01-26,2023-07-18,16,42,69.23095000000002,46523.198400000016,High CLV
8181.256,3038.6254,2020-11-09,2023-12-05,28,37,108.52233571428572,112429.13979999999,High CLV
10604.266,1660.1386,2021-03-12,2023-10-05,18,31,92.22992222222223,51464.29660000001,High CLV
5990.799,1227.5091,2020-03-28,2023-12-08,15,45,81.83394,55237.9095,High CLV
4416.5199999999995,1756.135,2020-04-11,2022-09-27,10,29,175.6135,50927.91499999999,High CLV
8673.222,2059.1199,2020-04-21,2023-09-15,26,41,79.19691923076924,84423.9159,High CLV
7663.126,1288.3469,2020-03-01,2023-12-04,23,45,56.01508260869565,57975.6105,High CLV
4299.161,1240.2266,2020-01-13,2023-11-19,34,46,36.47725294117647,57050.423599999995,High CLV
4432.138,1802.3903,2020-11-04,2023-09-15,10,34,180.23903,61281.2702,High CLV
10663.728000000001,1859.4695,2020-11-04,2023-12-10,22,37,84.52134090909091,68800.3715,High CLV
6320.746,1054.5529000000001,2020-03-11,2023-11-06,15,44,70.30352666666667,46400.327600000004,High CLV
5341.900000000001,1238.422,2021-04-02,2023-12-04,14,32,88.4587142857143,39629.504,High CLV
6459.344,2751.6848999999997,2020-04-04,2023-11-14,14,43,196.54892142857142,118322.45069999999,High CLV
5529.62,1208.8890000000001,2020-07-04,2023-03-31,21,33,57.566142857142864,39893.33700000001,High CLV
8646.934,2038.2676000000001,2020-01-09,2023-11-11,25,46,81.530704,93760.3096,High CLV
4893.043,1155.4331,2020-05-03,2023-09-29,18,41,64.19072777777778,47372.757099999995,High CLV
7252.608,1495.0854,2020-10-29,2023-11-23,34,37,43.973099999999995,55318.159799999994,High CLV
6843.634,1742.7296999999999,2020-09-14,2023-02-20,13,29,134.05613076923075,50539.16129999999,High CLV
3832.314,1292.8656,2020-01-18,2023-12-28,15,48,86.19104,62057.548800000004,High CLV
15117.339,6976.0959,2020-05-09,2023-08-11,18,39,387.5608833333333,272067.7401,High CLV
6979.18,1289.4535,2021-01-10,2023-11-05,12,34,107.45445833333333,43841.419,High CLV
5979.0960000000005,1902.5438000000001,2020-03-15,2022-11-27,11,32,172.95852727272728,60881.401600000005,High CLV
4159.7699999999995,1206.3851,2020-07-11,2023-11-13,14,40,86.17036428571429,48255.403999999995,High CLV
7397.401,1586.6273,2020-11-01,2023-10-29,23,36,68.98379565217392,57118.58280000001,High CLV
4624.572,1011.7443,2020-08-23,2023-12-11,15,40,67.44962,40469.772,High CLV
14142.333999999999,5757.411899999999,2020-05-10,2023-12-03,22,43,261.7005409090909,247568.71169999996,High CLV
5226.21,1276.6513,2020-02-20,2023-11-26,26,45,49.10197307692307,57449.3085,High CLV
6121.114,1985.1671999999999,2020-05-04,2023-06-11,21,37,94.53177142857142,73451.18639999999,High CLV
12209.438000000002,2650.6769,2020-08-20,2023-09-22,19,37,139.50931052631577,98075.04529999998,High CLV
4345.8859999999995,1990.4243999999999,2020-06-20,2023-09-26,12,39,165.8687,77626.55159999999,High CLV
11470.949999999999,1199.4242,2020-07-09,2023-09-18,32,38,37.48200625,45578.1196,High CLV
